name,category,supplier_id,price,product_id,quantity,expiry_date,is_fast_selling,shelf_location_id,image_url
Peak Milk (Powdered/Evaporated) (Powdered 400G),Dairy,S006,25000,P0001,182,05-06-26,False,SL0001,https://example.com/product_peak_milk_(powdered/evaporated)_(powdered_400g).png
Peak Milk (Powdered/Evaporated) (Evaporated 170Ml),Dairy,S006,3000,P0002,42,27-05-26,True,SL0002,https://example.com/product_peak_milk_(powdered/evaporated)_(evaporated_170ml).png
Cowbell Milk (Powdered) (400G),Dairy,S006,23000,P0003,101,06-06-26,False,SL0003,https://example.com/product_cowbell_milk_(powdered)_(400g).png
Cowbell Milk (Powdered) (20G Sachet),Dairy,S006,1000,P0004,132,12-09-25,False,SL0004,https://example.com/product_cowbell_milk_(powdered)_(20g_sachet).png
Hollandia Milk (Liquid) (1 Liter),Dairy,S006,8500,P0005,139,20-08-25,False,SL0005,https://example.com/product_hollandia_milk_(liquid)_(1_liter).png
Hollandia Milk (Liquid) (500Ml),Dairy,S006,4500,P0006,29,01-10-25,False,SL0006,https://example.com/product_hollandia_milk_(liquid)_(500ml).png
Dano Milk (Powdered) (400G),Dairy,S006,24000,P0007,139,14-09-25,False,SL0007,https://example.com/product_dano_milk_(powdered)_(400g).png
Dano Milk (Powdered) (20G Sachet),Dairy,S006,900,P0008,46,27-11-25,True,SL0008,https://example.com/product_dano_milk_(powdered)_(20g_sachet).png
Anchor Milk (Powdered) (400G),Dairy,S006,26000,P0009,108,28-11-25,True,SL0009,https://example.com/product_anchor_milk_(powdered)_(400g).png
Arla Milk (Liquid/Powdered) (Liquid 1 Liter),Dairy,S006,9000,P0010,69,22-09-25,False,SL0010,https://example.com/product_arla_milk_(liquid/powdered)_(liquid_1_liter).png
Arla Milk (Liquid/Powdered) (Powdered 400G),Dairy,S006,27000,P0011,19,28-07-25,True,SL0011,https://example.com/product_arla_milk_(liquid/powdered)_(powdered_400g).png
Parmalat Milk (Liquid/Yogurt) (Liquid 1 Liter),Dairy,S006,8000,P0012,141,16-10-25,True,SL0012,https://example.com/product_parmalat_milk_(liquid/yogurt)_(liquid_1_liter).png
Parmalat Milk (Liquid/Yogurt) (Yogurt 150G),Dairy,S006,2500,P0013,77,17-05-26,True,SL0013,https://example.com/product_parmalat_milk_(liquid/yogurt)_(yogurt_150g).png
Fan Milk (Yogurt/Drinks) (Yogurt 150Ml),Dairy,S006,2000,P0014,148,08-08-25,False,SL0014,https://example.com/product_fan_milk_(yogurt/drinks)_(yogurt_150ml).png
Fan Milk (Yogurt/Drinks) (Drink 200Ml),Dairy,S006,1500,P0015,61,15-03-26,False,SL0015,https://example.com/product_fan_milk_(yogurt/drinks)_(drink_200ml).png
Yoplait (Yogurt) (125G),Dairy,S006,3000,P0016,122,10-12-25,True,SL0016,https://example.com/product_yoplait_(yogurt)_(125g).png
Clover (Milk/Yogurt/Cheese) (Milk 1 Liter),Dairy,S006,9000,P0017,77,06-11-25,True,SL0017,https://example.com/product_clover_(milk/yogurt/cheese)_(milk_1_liter).png
Clover (Milk/Yogurt/Cheese) (Yogurt 175G),Dairy,S006,3500,P0018,141,25-04-26,True,SL0018,https://example.com/product_clover_(milk/yogurt/cheese)_(yogurt_175g).png
Clover (Milk/Yogurt/Cheese) (Cheese 250G),Dairy,S006,20000,P0019,20,03-06-26,False,SL0019,https://example.com/product_clover_(milk/yogurt/cheese)_(cheese_250g).png
Springbok (Cheese) (250G),Dairy,S006,18000,P0020,30,02-08-25,True,SL0020,https://example.com/product_springbok_(cheese)_(250g).png
President (Cheese/Butter) (Cheese 200G),Dairy,S006,22000,P0021,36,17-02-26,True,SL0021,https://example.com/product_president_(cheese/butter)_(cheese_200g).png
President (Cheese/Butter) (Butter 200G),Dairy,S006,15000,P0022,68,12-03-26,True,SL0022,https://example.com/product_president_(cheese/butter)_(butter_200g).png
Lactalis (Milk/Cheese) (Milk 1 Liter),Dairy,S006,8800,P0023,164,19-07-25,False,SL0023,https://example.com/product_lactalis_(milk/cheese)_(milk_1_liter).png
Lactalis (Milk/Cheese) (Cheese 200G),Dairy,S006,19000,P0024,69,11-11-25,True,SL0024,https://example.com/product_lactalis_(milk/cheese)_(cheese_200g).png
Brookside (Milk/Yogurt/Butter) (Milk 1 Liter),Dairy,S006,8500,P0025,24,28-10-25,False,SL0025,https://example.com/product_brookside_(milk/yogurt/butter)_(milk_1_liter).png
Brookside (Milk/Yogurt/Butter) (Yogurt 150G),Dairy,S006,2200,P0026,108,06-01-26,False,SL0026,https://example.com/product_brookside_(milk/yogurt/butter)_(yogurt_150g).png
Brookside (Milk/Yogurt/Butter) (Butter 250G),Dairy,S006,16000,P0027,30,15-08-25,True,SL0027,https://example.com/product_brookside_(milk/yogurt/butter)_(butter_250g).png
KCC (Milk/Yogurt/Butter) (Milk 1 Liter),Dairy,S006,4000,P0028,167,01-03-26,True,SL0028,https://example.com/product_kcc_(milk/yogurt/butter)_(milk_1_liter).png
KCC (Milk/Yogurt/Butter) (Yogurt 400G),Dairy,S006,5000,P0029,101,21-01-26,True,SL0029,https://example.com/product_kcc_(milk/yogurt/butter)_(yogurt_400g).png
KCC (Milk/Yogurt/Butter) (Butter 500G),Dairy,S006,25000,P0030,169,18-10-25,False,SL0030,https://example.com/product_kcc_(milk/yogurt/butter)_(butter_500g).png
Sameer Agriculture & Livestock (Milk) (1 Liter),Dairy,S006,3800,P0031,40,11-06-26,False,SL0031,https://example.com/product_sameer_agriculture_and_livestock_(milk)_(1_liter).png
Habesha (Yogurt - Ethiopia) (400G),Dairy,S006,5000,P0032,150,16-12-25,True,SL0032,https://example.com/product_habesha_(yogurt_-_ethiopia)_(400g).png
Frico (Cheese) (200G),Dairy,S006,21000,P0033,37,22-12-25,True,SL0033,https://example.com/product_frico_(cheese)_(200g).png
Kerrygold (Butter) (250G),Dairy,S006,17000,P0034,76,11-12-25,True,SL0034,https://example.com/product_kerrygold_(butter)_(250g).png
Blue Band (Margarine) (250G),Dairy,S006,6000,P0035,183,14-03-26,False,SL0035,https://example.com/product_blue_band_(margarine)_(250g).png
Blue Band (Margarine) (500G),Dairy,S006,11000,P0036,126,03-01-26,False,SL0036,https://example.com/product_blue_band_(margarine)_(500g).png
Stork (Margarine) (250G),Dairy,S006,5500,P0037,191,11-12-25,True,SL0037,https://example.com/product_stork_(margarine)_(250g).png
Stork (Margarine) (500G),Dairy,S006,10000,P0038,67,11-10-25,False,SL0038,https://example.com/product_stork_(margarine)_(500g).png
Premier Bread (400G Loaf),Bakery,S002,4500,P0039,95,08-02-26,True,SL0039,https://example.com/product_premier_bread_(400g_loaf).png
Supra Loaf (400G Loaf),Bakery,S002,4300,P0040,19,26-07-25,True,SL0040,https://example.com/product_supra_loaf_(400g_loaf).png
Good Morning Bread (400G Loaf),Bakery,S002,4200,P0041,13,08-03-26,True,SL0041,https://example.com/product_good_morning_bread_(400g_loaf).png
Tiger Brands (Rusks 500G),Bakery,S002,18000,P0042,104,13-05-26,False,SL0042,https://example.com/product_tiger_brands_(rusks_500g).png
Eat Rite Bread (400G Loaf),Bakery,S002,4000,P0043,168,15-05-26,False,SL0043,https://example.com/product_eat_rite_bread_(400g_loaf).png
Deli Baked Goods (local supermarket brands often exist) (Croissant),Bakery,S002,3000,P0044,21,29-09-25,True,SL0044,https://example.com/product_deli_baked_goods_(local_supermarket_brands_often_exist)_(croissant).png
Deli Baked Goods (local supermarket brands often exist) (Muffin),Bakery,S002,2500,P0045,96,28-11-25,False,SL0045,https://example.com/product_deli_baked_goods_(local_supermarket_brands_often_exist)_(muffin).png
Blue Ribbon Bread (400G Loaf),Bakery,S002,4600,P0046,62,12-05-26,True,SL0046,https://example.com/product_blue_ribbon_bread_(400g_loaf).png
Albany Bread (400G Loaf),Bakery,S002,4500,P0047,93,24-03-26,True,SL0047,https://example.com/product_albany_bread_(400g_loaf).png
Sasko Bread (400G Loaf),Bakery,S002,4400,P0048,88,18-01-26,False,SL0048,https://example.com/product_sasko_bread_(400g_loaf).png
Nature's Own Bread (400G Loaf),Bakery,S002,4700,P0049,192,20-09-25,True,SL0049,https://example.com/product_nature's_own_bread_(400g_loaf).png
Bokomo Rusks (500G),Bakery,S002,19000,P0050,154,09-05-26,False,SL0050,https://example.com/product_bokomo_rusks_(500g).png
Bokomo Biscuits (200G),Bakery,S002,8000,P0051,41,20-10-25,False,SL0051,https://example.com/product_bokomo_biscuits_(200g).png
Pioneer Biscuits (200G),Bakery,S002,7500,P0052,138,07-06-26,True,SL0052,https://example.com/product_pioneer_biscuits_(200g).png
Pioneer Rusks (500G),Bakery,S002,18500,P0053,14,15-10-25,True,SL0053,https://example.com/product_pioneer_rusks_(500g).png
Natura (Baking ingredients) (Baking Powder 100G),Bakery,S002,4000,P0054,67,05-05-26,False,SL0054,https://example.com/product_natura_(baking_ingredients)_(baking_powder_100g).png
Chiquita (Bananas) (1Kg),Fruits,S003,6000,P0055,111,08-01-26,True,SL0055,https://example.com/product_chiquita_(bananas)_(1kg).png
Capespan (Various Fruits) (Apple Per Item),Fruits,S003,2000,P0056,135,06-07-26,True,SL0056,https://example.com/product_capespan_(various_fruits)_(apple_per_item).png
Capespan (Various Fruits) (Orange Per Item),Fruits,S003,1500,P0057,161,30-11-25,False,SL0057,https://example.com/product_capespan_(various_fruits)_(orange_per_item).png
Dole (Various Fruits) (Pineapple Per Item),Fruits,S003,8000,P0058,70,02-04-26,False,SL0058,https://example.com/product_dole_(various_fruits)_(pineapple_per_item).png
Local Farm Produce (Banana Bunch),Fruits,S003,10000,P0059,193,26-04-26,True,SL0059,https://example.com/product_local_farm_produce_(banana_bunch).png
Local Farm Produce (Mango Per Item),Fruits,S003,3000,P0060,75,20-02-26,False,SL0060,https://example.com/product_local_farm_produce_(mango_per_item).png
Local Farm Produce (Avocado Per Item),Fruits,S003,2000,P0061,116,06-03-26,True,SL0061,https://example.com/product_local_farm_produce_(avocado_per_item).png
Zespri (Kiwifruit),Fruits,S003,2500,P0062,198,03-06-26,False,SL0062,https://example.com/product_zespri_(kiwifruit).png
"Del Monte (Pineapples, Bananas) (Pineapple Per Item)",Fruits,S003,7500,P0063,77,25-07-25,True,SL0063,"https://example.com/product_del_monte_(pineapples,_bananas)_(pineapple_per_item).png"
"Del Monte (Pineapples, Bananas) (Banana 1Kg)",Fruits,S003,5500,P0064,190,15-09-25,False,SL0064,"https://example.com/product_del_monte_(pineapples,_bananas)_(banana_1kg).png"
Farmer's Choice (Processed Meats) (Sausages 500G),Meat,S005,15000,P0065,177,26-07-25,True,SL0065,https://example.com/product_farmer's_choice_(processed_meats)_(sausages_500g).png
Farmer's Choice (Processed Meats) (Bacon 250G),Meat,S005,18000,P0066,167,12-03-26,True,SL0066,https://example.com/product_farmer's_choice_(processed_meats)_(bacon_250g).png
Eskort (Processed Meats) (Polony 500G),Meat,S005,12000,P0067,100,03-11-25,True,SL0067,https://example.com/product_eskort_(processed_meats)_(polony_500g).png
Eskort (Processed Meats) (Ham 200G),Meat,S005,20000,P0068,131,17-11-25,True,SL0068,https://example.com/product_eskort_(processed_meats)_(ham_200g).png
Enterprise (Processed Meats) (Viennas 500G),Meat,S005,14000,P0069,131,22-11-25,False,SL0069,https://example.com/product_enterprise_(processed_meats)_(viennas_500g).png
County Fair (Chicken) (Whole Chicken 1.5Kg),Meat,S005,25000,P0070,50,12-08-25,False,SL0070,https://example.com/product_county_fair_(chicken)_(whole_chicken_15kg).png
Rainbow Chicken (Whole Chicken 1.5Kg),Meat,S005,26000,P0071,96,22-09-25,False,SL0071,https://example.com/product_rainbow_chicken_(whole_chicken_15kg).png
Deli Fresh (Supermarket house brands) (Mince 500G),Meat,S005,10000,P0072,107,14-12-25,False,SL0072,https://example.com/product_deli_fresh_(supermarket_house_brands)_(mince_500g).png
Deli Fresh (Supermarket house brands) (Chicken Breast 500G),Meat,S005,12000,P0073,37,24-05-26,True,SL0073,https://example.com/product_deli_fresh_(supermarket_house_brands)_(chicken_breast_500g).png
Halal Certified Meats (Beef Stewing 1Kg),Meat,S005,18000,P0074,127,09-01-26,True,SL0074,https://example.com/product_halal_certified_meats_(beef_stewing_1kg).png
